channel,u0,tE,rho,q,s,mag_ref,seed,event_delta_chi2,anomaly_delta_chi2,event_detected,anomaly_detected,recovered,failure_reason,n_points_in_anomaly_window,wall_time_s
ffp,0.02,0.02,0.005,0.0,1.0,19.0,0,72263.13603332809,0.8755406144226917,True,True,True,recovered,5,0.0902585000731051
ffp,0.02,0.02,0.005,0.0,1.0,19.0,1,72282.98197040151,2.436162206375433,True,True,True,recovered,5,0.09955439995974302
ffp,0.02,0.02,0.005,0.0,1.0,19.0,2,72030.29370266132,1.3493267653412848,True,True,True,recovered,5,0.13005249993875623
ffp,0.02,0.02,0.005,0.0,1.0,19.0,3,72197.63097177767,0.9127044582572398,True,True,True,recovered,5,0.07516489969566464
ffp,0.02,0.02,0.005,0.0,1.0,19.0,4,72065.4055575497,3.646262077414765,True,True,True,recovered,5,0.0778103000484407
ffp,0.02,0.08,0.005,0.0,1.0,19.0,0,511349.7053788161,18.053666288040844,True,True,True,recovered,28,0.048094000201672316
ffp,0.02,0.08,0.005,0.0,1.0,19.0,1,508167.5242073141,22.407702578322333,True,True,True,recovered,27,0.044563600327819586
ffp,0.02,0.08,0.005,0.0,1.0,19.0,2,510286.2251680383,22.05758905858091,True,True,True,recovered,28,0.04106770036742091
ffp,0.02,0.08,0.005,0.0,1.0,19.0,3,511146.896518345,19.304319928786864,True,True,True,recovered,28,0.041872499976307154
ffp,0.02,0.08,0.005,0.0,1.0,19.0,4,511469.5043648797,22.081439763438134,True,True,True,recovered,28,0.04487639991566539
ffp,0.02,0.3,0.005,0.0,1.0,19.0,0,2537054.6613618876,93.26051825321689,True,True,True,recovered,105,0.0375789999961853
ffp,0.02,0.3,0.005,0.0,1.0,19.0,1,2480839.6678861845,82.80465687476506,True,True,True,recovered,104,0.03741850005462766
ffp,0.02,0.3,0.005,0.0,1.0,19.0,2,2528196.884987536,87.3095604937385,True,True,True,recovered,106,0.045773900113999844
ffp,0.02,0.3,0.005,0.0,1.0,19.0,3,2542678.699053506,103.00671068414071,True,True,True,recovered,105,0.0369031997397542
ffp,0.02,0.3,0.005,0.0,1.0,19.0,4,2521767.7345973686,121.14226062330357,True,True,True,recovered,105,0.03829480009153485
ffp,0.02,1.0,0.005,0.0,1.0,19.0,0,8824151.7408879,332.55117346029357,True,True,True,recovered,354,0.04101799987256527
ffp,0.02,1.0,0.005,0.0,1.0,19.0,1,8732783.762773644,301.1476130057039,True,True,True,recovered,354,0.03916750010102987
ffp,0.02,1.0,0.005,0.0,1.0,19.0,2,8865664.224035606,384.20983168970463,True,True,True,recovered,357,0.038565900176763535
